id,name,y_pos,x_pos,address
EVS_000275,제주 장애인기업종합지원센터 버스정류장(시티주유소)_대여반납존,33.4764,126.47975,제주특별자치도 제주시 진군남4길 5 
EVS_000251,제주 장애인기업종합지원센터 버스정류장(중흥S클래스)_대여반납존,33.4762,126.4816,제주특별자치도 제주시 진군남4길 5 
EVS_000282,아라동 주민센터 주차장 입구_대여반납존,33.47615,126.5448,제주특별자치도 제주시 인다8길 5 
EVS_000285,아라아이파크 입구_대여반납존,33.475823,126.55005,제주특별자치도 제주시 인다1길 20 
EVS_000198,봄그리고가을리조트_대여반납존,33.474136,126.91101,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660 
EVS_000284,아라주공아파트 버스정류장_대여반납존,33.47309,126.54579,제주특별자치도 제주시 인다12길 2 
EVS_000097,신엄 고내리포구_대여반납존,33.473066,126.350171,제주특별자치도 제주시 애월읍 고내리 337-2
EVS_000189,애월스타벅스DT_대여반납존,33.473016,126.348462,제주특별자치도 제주시 애월읍 고내리 343-1
EVS_000337,성산여객터미널 자전거거치대_대여반납존,33.472755,126.934031,제주특별자치도 서귀포시 성산읍 성산등용로 130-21 
EVS_000283,제주아라 스위첸아파트 입구_대여반납존,33.47275,126.54298,제주특별자치도 제주시 아란9길 22 
EVS_000133,본점테스트,33.471732,126.842679,제주특별자치도 제주시 구좌읍 상도리 산 331
EVS_000171,성산포항 입구 버스정류장_대여반납존,33.471358,126.930685,제주특별자치도 서귀포시 성산읍 성산리 347-16
EVS_000368,온더스톤카페_대여반납존,33.470356,126.918294,제주특별자치도 서귀포시 성산읍 오조리 373-2
EVS_000369,온더스톤게스트하우스_대여반납존,33.470195,126.930672,제주특별자치도 서귀포시 성산읍 성산리 358-3
EVS_000193,한라수목원 주차장 입구_대여반납존,33.469777,126.490555,제주특별자치도 제주시 연동 998
EVS_000003,성산점,33.469735,126.922293,제주특별자치도 서귀포시 성산읍 오조리 3
EVS_000342,오조해녀의집 버스정류장_대여반납존,33.468795,126.922455,제주특별자치도 서귀포시 성산읍 오조리 2-5
EVS_000199,오르다 카페 입구_대여반납존,33.468621,126.935979,제주특별자치도 서귀포시 성산읍 성산리 308
EVS_000460,성산고등학교 버스정류장(칠돈가)_대여반납존,33.468484,126.916922,제주특별자치도 서귀포시 성산읍 오조리 337-1
EVS_000088,이브이트럭1,33.468179,126.328434,제주특별자치도 제주시 애월읍 애월리 407-7
EVS_000190,고내포구_대여반납존,33.467005,126.33717,제주특별자치도 제주시 애월읍 고내리 1111-2
EVS_000188,성산코업시티호텔_대여반납존,33.465582,126.931958,제주특별자치도 서귀포시 성산읍 성산리 400-18
EVS_000378,성산일출봉입구 버스정류장_대여반납존,33.463753,126.933713,제주특별자치도 서귀포시 성산읍 성산리 229-6
EVS_000376,오조리상동입구 버스정류장_대여반납존,33.462884,126.910277,제주특별자치도 서귀포시 성산읍 오조리 2210
EVS_000172,성산일출봉자전거거치대_대여반납존,33.462568,126.936318,제주특별자치도 서귀포시 성산읍 성산리 102-1
EVS_000429,성산일출봉 상가입구_대여반납존,33.462438,126.936136,제주특별자치도 서귀포시 성산읍 성산리 114
EVS_000191,한담동 버스정류장_대여반납존,33.462388,126.312577,제주특별자치도 제주시 애월읍 애월리 2482-2
EVS_000430,성산일출봉 흡연실_대여반납존,33.461726,126.935182,제주특별자치도 서귀포시 성산읍 성산리 114-3
EVS_000375,오조리경로당 자전거거치대_대여반납존,33.461261,126.915429,제주특별자치도 서귀포시 성산읍 오조로80번길 1
EVS_000120,애월포구_대여반납존,33.460977,126.51201,제주특별자치도 제주시 애조로 1230 
EVS_000434,미니멀테스트,33.460977,126.51201,제주특별자치도 제주시 애조로 1230 
